Helichrysum stoechas,Piptatherum miliaceum,Linum strictum,Lygeum spartum,Fagonia cretica,Plantago crassifolia,Leontodon longirostris,Reichardia tingitana,Dittrichia viscosa,Sonchus tenerrimus,Phagnalon saxatile,Paronychia suffruticosa,Limonium carthaginense,Atriplex halimus,Hyparrhenia sinaica,Pinus halepensis
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,True,True,True,False,False,True,False,False
True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False
True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False
True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False
True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False
True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False
True,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False
True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False
True,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False
True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True
True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False
True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False
True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False
True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False
False,True,True,False,False,True,True,True,False,True,False,False,False,True,False,False
False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False
False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False
False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False
False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False
True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False
False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False
False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False
False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False
False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False
True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False
False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False
False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False
False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True
True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True
True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True
True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True
True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
