Fumana_thymifolia,Stipa_tenacissima,Helianthemum_violaceum,Brachypodium_retusum,Fumana_ericoides,Rosmarinus_officinalis,Helianthemum_syriacum,Teucrium_capitatum,Atractylis_cancellata,Teucrium_pseudochamaepitys,Phagnalon_rupestre,Teucrium_mola,Fumana_hispidula,Sedum_sediforme,Matthiola_fruticulosa,Thymus_vulgaris
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
True,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True
True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
True,True,True,True,False,False,False,True,False,False,True,False,False,True,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False
True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False
True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,True
True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False
True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True
False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True
True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False
True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False
True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False
False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True
True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True
False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False
False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,True
True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
